fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;2;0;0.0411;0;600;600;600;1;0;1;-30;30
1;39;0;0.025;0;1000;1000;1000;1;0;1;-30;30
2;3;0;0.0151;0;500;500;500;1;0;1;-30;30
2;25;0;0.0086;0;500;500;500;1;0;1;-30;30
2;30;0;0.0181;0;900;900;2500;1;0;1;-30;30
3;4;0;0.0213;0;500;500;500;1;0;1;-30;30
3;18;0;0.0133;0;500;500;500;1;0;1;-30;30
4;5;0;0.0128;0;600;600;600;1;0;1;-30;30
4;14;0;0.0129;0;500;500;500;1;0;1;-30;30
5;6;0;0.0026;0;1200;1200;1200;1;0;1;-30;30
5;8;0;0.0112;0;900;900;900;1;0;1;-30;30
6;7;0;0.0092;0;900;900;900;1;0;1;-30;30
6;11;0;0.0082;0;480;480;480;1;0;1;-30;30
6;31;0;0.025;0;1800;1800;1800;1;0;1;-30;30
7;8;0;0.0046;0;900;900;900;1;0;1;-30;30
8;9;0;0.0363;0;900;900;900;1;0;1;-30;30
9;39;0;0.025;0;900;900;900;1;0;1;-30;30
10;11;0;0.0043;0;600;600;600;1;0;1;-30;30
10;13;0;0.0043;0;600;600;600;1;0;1;-30;30
10;32;0;0.02;0;900;900;2500;1;0;1;-30;30
12;11;0;0.0435;0;500;500;500;1;0;1;-30;30
12;13;0;0.0435;0;500;500;500;1;0;1;-30;30
13;14;0;0.0101;0;600;600;600;1;0;1;-30;30
14;15;0;0.0217;0;600;600;600;1;0;1;-30;30
15;16;0;0.0094;0;600;600;600;1;0;1;-30;30
16;17;0;0.0089;0;600;600;600;1;0;1;-30;30
16;19;0;0.0195;0;600;600;2500;1;0;1;-30;30
16;21;0;0.0135;0;600;600;600;1;0;1;-30;30
16;24;0;0.0059;0;600;600;600;1;0;1;-30;30
17;18;0;0.0082;0;600;600;600;1;0;1;-30;30
17;27;0;0.0173;0;600;600;600;1;0;1;-30;30
19;20;0;0.0138;0;900;900;2500;1;0;1;-30;30
19;33;0;0.0142;0;900;900;2500;1;0;1;-30;30
20;34;0;0.018;0;900;900;2500;1;0;1;-30;30
21;22;0;0.014;0;900;900;900;1;0;1;-30;30
22;23;0;0.0096;0;600;600;600;1;0;1;-30;30
22;35;0;0.0143;0;900;900;2500;1;0;1;-30;30
23;24;0;0.035;0;600;600;600;1;0;1;-30;30
23;36;0;0.0272;0;900;900;2500;1;0;1;-30;30
25;26;0;0.0323;0;600;600;600;1;0;1;-30;30
25;37;0;0.0232;0;900;900;2500;1;0;1;-30;30
26;27;0;0.0147;0;600;600;600;1;0;1;-30;30
26;28;0;0.0474;0;600;600;600;1;0;1;-30;30
26;29;0;0.0625;0;600;600;600;1;0;1;-30;30
28;29;0;0.0151;0;600;600;600;1;0;1;-30;30
29;38;0;0.0156;0;1200;1200;2500;1;0;1;-30;30
