bus;Eg;Xd_tr;Xq_tr;Xd;Xq;Td;Tq;H;D;Ra;T_exc;K_exc;R;T1;T2;T3
30;1.0929;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
31;1.1966;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
32;1.1491;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
33;1.0808;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
34;1.3971;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
35;1.191;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
36;1.1394;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
37;1.0709;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
38;1.1368;0.03;0.03;0.15;0.15;6.0;0.5;30;20;0.0;1;100;0.05;0.5;2.5;7.5
39;1.0368;0.003;0.003;0.015;0.015;6.0;0.5;300;200;0.0;1;100;0.05;0.5;2.5;7.5
